baseline_commit,container,stable_locator,surface,token,classification,disposition,new_value,context_sha256
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,README.md,README.md:L21#token-5,repository-text,R-10,source-of-truth,update-current-state-documentation,post-state wording,21ce11e10f5a76042a71bf9628e53e4440c48b622ae797e1c2b11bc17c73a54d
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,README.md,README.md:L38#token-1,repository-text,R-06,historical-provenance,update-current-state-documentation,post-state wording,83dc322afc3e2635c68946251973b78fb8bccbbed3562fa5ed019457431959c4
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,README.md,README.md:L38#token-2,repository-text,R-07,historical-provenance,update-current-state-documentation,post-state wording,83dc322afc3e2635c68946251973b78fb8bccbbed3562fa5ed019457431959c4
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,README.md,README.md:L38#token-3,repository-text,R-10,historical-provenance,update-current-state-documentation,post-state wording,83dc322afc3e2635c68946251973b78fb8bccbbed3562fa5ed019457431959c4
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,README.md,README.md:L80#token-1,repository-text,R-06,historical-provenance,update-current-state-documentation,post-state wording,6b511bee96f31679b2e1ce423345256c8dda53d89c7c06f43458c962f4620f2c
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,README.md,README.md:L80#token-2,repository-text,R-07,historical-provenance,update-current-state-documentation,post-state wording,725323cbe184aec4dbc023ce330116eef0f3d2252e0effb858f30a4e6deff34d
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,README.md,README.md:L80#token-3,repository-text,R-10,historical-provenance,update-current-state-documentation,post-state wording,f63d546e755098a5b93a62a87929625b6428bf6038544f784b5f81c1cf16e2e7
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L7#token-1,repository-text,R-06,historical-provenance,preserve-sha-bound-record,preserve,5c121b0fec7186208ab8668c7b60503bbefdd19bad7199a50c8ce64b52ecbc4b
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L7#token-2,repository-text,R-07,historical-provenance,preserve-sha-bound-record,preserve,5c121b0fec7186208ab8668c7b60503bbefdd19bad7199a50c8ce64b52ecbc4b
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L7#token-3,repository-text,R-10,historical-provenance,preserve-sha-bound-record,preserve,5c121b0fec7186208ab8668c7b60503bbefdd19bad7199a50c8ce64b52ecbc4b
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L42#token-1,repository-text,R-10,historical-provenance,preserve-sha-bound-record,preserve,d2abe5907ec56aea976b4deecf2a9ea2b7cc93e318821d57b8467b3573363c5a
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L44#token-1,repository-text,R-07,historical-provenance,preserve-sha-bound-record,preserve,67c78da363c1142fc1b38328321813b91f04ec6000e88014057dd9806d1c791d
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L45#token-1,repository-text,R-10,historical-provenance,preserve-sha-bound-record,preserve,8d5c292cb4f03c788537e0686c1b67147dfb9284d37def1714ec0a456899600b
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L46#token-1,repository-text,R-06,historical-provenance,preserve-sha-bound-record,preserve,36bbac6695455e98d16e9ad51c0fca1a6fc4bf6f0f6534f26b5cccdb8e76d2dc
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L47#token-1,repository-text,R-07,historical-provenance,preserve-sha-bound-record,preserve,a9cc31f454abb70722a622e1574d989f5dbbb37daa6e6c22ae8506e7371ad15c
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L49#token-1,repository-text,R-10,historical-provenance,preserve-sha-bound-record,preserve,1289ca730b5da80ed6895999512e16d964045d30dae0deca882bd418de1ab219
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L51#token-1,repository-text,R-06,historical-provenance,preserve-sha-bound-record,preserve,4c52d50bb082e2d2fe34e816079fc5e849290cfb96c8e8ca77b901ab14a9d564
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L51#token-2,repository-text,R-07,historical-provenance,preserve-sha-bound-record,preserve,57bb2ec1329022a69809a13021713226ed578cab17b41a2ce450c263bf06a8f1
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L51#token-3,repository-text,R-10,historical-provenance,preserve-sha-bound-record,preserve,2e428f36b2c6abe3e3e01bdd609936981d00fa12515a0927268ec78a70fd133c
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L57#token-1,repository-text,R-06,historical-provenance,preserve-sha-bound-record,preserve,816434d252d1b38b869476718cf4cb1393e57db442aed825344ce7619a077a57
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L57#token-2,repository-text,R-07,historical-provenance,preserve-sha-bound-record,preserve,816434d252d1b38b869476718cf4cb1393e57db442aed825344ce7619a077a57
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L58#token-1,repository-text,R-07,historical-provenance,preserve-sha-bound-record,preserve,49affabacbbf48bb6445109619566ae479b88201c9f731f0b60df776cad5dc8e
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L58#token-2,repository-text,R-10,historical-provenance,preserve-sha-bound-record,preserve,49affabacbbf48bb6445109619566ae479b88201c9f731f0b60df776cad5dc8e
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L60#token-1,repository-text,R-10,historical-provenance,preserve-sha-bound-record,preserve,2160b27c350c3cc8c29cb1453d278be4735a2d379886f03e69ce91dc737c8f69
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L62#token-1,repository-text,R-07,historical-provenance,preserve-sha-bound-record,preserve,61137e5822916595d11572b511f3a97daa920b249bc879f62ea7c3886022cacf
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L62#token-2,repository-text,R-10,historical-provenance,preserve-sha-bound-record,preserve,61137e5822916595d11572b511f3a97daa920b249bc879f62ea7c3886022cacf
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L62#token-3,repository-text,R-07,historical-provenance,preserve-sha-bound-record,preserve,61137e5822916595d11572b511f3a97daa920b249bc879f62ea7c3886022cacf
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L62#token-4,repository-text,R-06,historical-provenance,preserve-sha-bound-record,preserve,42f2f219243a23d91ba06a0351f13439fee848f5c26b2a32593c4d1b8ff37e2d
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L82#token-1,repository-text,R-06,historical-provenance,preserve-sha-bound-record,preserve,8c2463e2b46c581f7092543248dc6aa2bd27a66c30a2d5ec7efed305165c56f9
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md,docs/EDITORIAL_LINEAGE_DECISION_2026-08-06.md:L82#token-2,repository-text,R-07,historical-provenance,preserve-sha-bound-record,preserve,8c2463e2b46c581f7092543248dc6aa2bd27a66c30a2d5ec7efed305165c56f9
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md:L49#token-1,repository-text,R-10,historical-provenance,preserve-sha-bound-record,preserve,25bc7d9e7e801408f9ac0a12867efe0bc1fd43d4967080eb8e8b4a1d20040042
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md:L53#token-1,repository-text,R-10,historical-provenance,preserve-sha-bound-record,preserve,da6ad33cf6f507f24911fc130f96391644196762fdaff4a862e3754ed35d1a7a
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md:L55#token-1,repository-text,R-10,historical-provenance,preserve-sha-bound-record,preserve,84516952ff0f2f8b403739058230710c7582fea099d18bb97da6960956eecd61
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md:L57#token-1,repository-text,R-07,historical-provenance,preserve-sha-bound-record,preserve,0b712310af97ec860feca76170896e6bf2ae30defcbff98ed72732936a9775ce
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md:L59#token-1,repository-text,R-10,historical-provenance,preserve-sha-bound-record,preserve,65a043e67a5881e0d4f5966ab4e25d95032341016c7a174c1ef92ee8e45a9651
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md:L97#token-1,repository-text,R-07,historical-provenance,preserve-sha-bound-record,preserve,f33d9820d80d4e50906527450002e16a3ae11f45fe65c80892dd34de8312ee0d
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md,docs/ENTRY_LINEAGE_BASELINE_2026-08-06.md:L97#token-2,repository-text,R-10,historical-provenance,preserve-sha-bound-record,preserve,f33d9820d80d4e50906527450002e16a3ae11f45fe65c80892dd34de8312ee0d
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/IDENTITY_AND_SCOPE.md,docs/IDENTITY_AND_SCOPE.md:L44#token-1,repository-text,R-06,competing-hypotheses,update-current-state-documentation,post-state wording,f952f1af262b8e676cf07f94afbb37ce57104e97a945fe5a2e7577366554bf54
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/IDENTITY_AND_SCOPE.md,docs/IDENTITY_AND_SCOPE.md:L44#token-2,repository-text,R-07,competing-hypotheses,update-current-state-documentation,post-state wording,f952f1af262b8e676cf07f94afbb37ce57104e97a945fe5a2e7577366554bf54
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/IDENTITY_AND_SCOPE.md,docs/IDENTITY_AND_SCOPE.md:L45#token-1,repository-text,R-07,source-of-truth,update-current-state-documentation,post-state wording,98434f4a967fe75d5abc5e38549d18ca342fc1e629603d0bb6ae006da8e36cd5
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/IDENTITY_AND_SCOPE.md,docs/IDENTITY_AND_SCOPE.md:L45#token-2,repository-text,R-10,source-of-truth,update-current-state-documentation,post-state wording,98434f4a967fe75d5abc5e38549d18ca342fc1e629603d0bb6ae006da8e36cd5
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/IDENTITY_AND_SCOPE.md,docs/IDENTITY_AND_SCOPE.md:L46#token-1,repository-text,R-10,historical-provenance,update-current-state-documentation,post-state wording,fc9d0cfb21d0720a4b727835b08c868dd3cc6e44d0b4936e508081b9d987d7d7
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/IDENTITY_AND_SCOPE.md,docs/IDENTITY_AND_SCOPE.md:L50#token-1,repository-text,R-06,competing-hypotheses,update-current-state-documentation,post-state wording,34271dc4e5263432f082645f6d7b9b588594501983ebd19da28589904c063cca
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/IDENTITY_AND_SCOPE.md,docs/IDENTITY_AND_SCOPE.md:L50#token-2,repository-text,R-07,competing-hypotheses,update-current-state-documentation,post-state wording,34271dc4e5263432f082645f6d7b9b588594501983ebd19da28589904c063cca
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/IDENTITY_AND_SCOPE.md,docs/IDENTITY_AND_SCOPE.md:L51#token-1,repository-text,R-07,source-of-truth,update-current-state-documentation,post-state wording,79c43efa1e3f9fb423158547800ffde19b29b5857fb8a2f3ec45e4019dfb4e03
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/IDENTITY_AND_SCOPE.md,docs/IDENTITY_AND_SCOPE.md:L51#token-2,repository-text,R-10,source-of-truth,update-current-state-documentation,post-state wording,79c43efa1e3f9fb423158547800ffde19b29b5857fb8a2f3ec45e4019dfb4e03
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/IDENTITY_AND_SCOPE.md,docs/IDENTITY_AND_SCOPE.md:L78#token-1,repository-text,R-06,historical-provenance,update-current-state-documentation,post-state wording,bf956417a1381f1cd018245b4a8c0c13000c96ac283a9a1b86c3c7915cce45e6
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/IDENTITY_AND_SCOPE.md,docs/IDENTITY_AND_SCOPE.md:L78#token-2,repository-text,R-07,historical-provenance,update-current-state-documentation,post-state wording,bf956417a1381f1cd018245b4a8c0c13000c96ac283a9a1b86c3c7915cce45e6
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,docs/IDENTITY_AND_SCOPE.md,docs/IDENTITY_AND_SCOPE.md:L78#token-3,repository-text,R-10,historical-provenance,update-current-state-documentation,post-state wording,bf956417a1381f1cd018245b4a8c0c13000c96ac283a9a1b86c3c7915cce45e6
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L346#token-1,production-workspace,R-10,source-of-truth,replace-discrepancy-with-completion-record,preserve,285f861ca0bac29708bc6095a916114cb1adea7cdbb0a12e92393d629b72c8bb
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L346#token-2,production-workspace,R-10,source-of-truth,replace-discrepancy-with-completion-record,preserve,47179ddcd644bb53d336f24515a8146ca9754512b13783a2c6015b607eac3c83
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L346#token-3,production-workspace,R-07,source-of-truth,replace-discrepancy-with-completion-record,preserve,5778d5568a9f6698aece43ba99238331e19bbb87fd3607d312cda2d976ca3893
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L346#token-4,production-workspace,R-10,historical-provenance,replace-discrepancy-with-completion-record,preserve,13ed7e43ab60d30a1b0035fdceb85e30be3f4f9a48069fd4b843c62b1a4b182f
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L346#token-5,production-workspace,R-07,historical-provenance,replace-discrepancy-with-completion-record,preserve,1f7390635877325e2e9990f989755fa337a888f7e01fcce6be354f484b2b52a8
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L346#token-6,production-workspace,R-10,historical-provenance,replace-discrepancy-with-completion-record,preserve,e518757764dc3a46748d4eb59134dbf9303ec946baecc3d8ca242c1718aba04e
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L366#token-1,production-workspace,R-10,source-of-truth,remove-completed-pending-state,remove,fafb4abbeede2efea3d9e8082f1ce813790fadb282f0fcfa5aa7b0cbd589888b
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L366#token-2,production-workspace,R-07,source-of-truth,remove-completed-pending-state,remove,f839c83456a5dd8b029e3007a917ff4ece09fcf2f91a3e1f617d1944b7c179d7
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L422#token-1,production-workspace,R-10,historical-provenance,rewrite-rationale-as-completed,preserve,98548bdf52046bd4583d9c7c64e225b711dd77552090db43144044fde97fb489
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L631#token-1,production-workspace,R-06,competing-hypotheses,replace-semantic-reference,R-07,34a37cf2128fb52843d1b864ba3bd7f75a0632cf3fee3d6d812c3d542e535459
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L654#token-1,production-workspace,R-10,historical-provenance,remove-completed-pending-state,remove,78b6b48150f41f2293ab28e2b0428d120113c364dd2f0d91a98702f0f4e60e42
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L657#token-1,production-workspace,R-10,historical-provenance,remove-completed-pending-state,remove,289949a5fb3a52634a228cf806f2787cb4e6ffb99b39e8ff92cfbe565fe393ad
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L664#token-1,production-workspace,R-07,source-of-truth,remove-completed-pending-state,remove,390451ffd3b5cf442d8fd27538640f3bb8f8e989775ada5d42fd223d42379a68
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L664#token-2,production-workspace,R-07,competing-hypotheses,remove-completed-pending-state,remove,d9b82564d54a870a1faaf7d642390d659b8a52c1bc05816b218ca9ac02ee2ed3
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L664#token-3,production-workspace,R-10,source-of-truth,remove-completed-pending-state,remove,db72d189d9b89243fad9561ba90c3cdb1090c7a62b469fc3c20cf3b9f2aab2a7
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L664#token-4,production-workspace,R-06,competing-hypotheses,remove-completed-pending-state,remove,0aa660225d1e913f68197103dcd101e330ae76b55e1e73b9336c128f53d50389
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L664#token-5,production-workspace,R-07,source-of-truth,remove-completed-pending-state,remove,b0d3ebe274f245e68d7727189b25f08074b5b84952049638b75586ee4456ab9a
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L664#token-6,production-workspace,R-07,source-of-truth,remove-completed-pending-state,remove,bf9bf57856356413e49e915e80526fc0acff350a2a8864b3f906194b5c03bf17
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L664#token-7,production-workspace,R-10,competing-hypotheses,remove-completed-pending-state,remove,4e0f5fa3b55ed0a24230da3442c0bd3e3832a4a8ba93cdf84112eb305b4133b3
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L664#token-8,production-workspace,R-10,source-of-truth,remove-completed-pending-state,remove,76d07a35b6dd0b1e082e48ad27b760070556ad679234ad8b12a2c131e9e2121e
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L665#token-1,production-workspace,R-07,source-of-truth,remove-completed-pending-state,remove,ef5fb605dbea87548dede139204884a79e02d636f31752338c62829bfab298d6
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L665#token-2,production-workspace,R-10,source-of-truth,remove-completed-pending-state,remove,41f88ef4ac1b75cf42491577bde25638e984edd81aac9e3f1ba94bb53fb4fda4
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,index.html:L665#token-3,production-workspace,R-10,historical-provenance,remove-completed-pending-state,remove,03a2db8efb48cfa414a8a257810d6005061726533b9db00793aebb3624b30766
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,manual-page-076:L5304#token-1,search-metadata,r-07,competing-hypotheses,preserve-correct-reference,preserve,c8a904f490eff1849b6e99be033a5cc7464965ef4d804728b06302149e8433c6
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,manual-page-076:L5321#token-1,visible-text,R-07,competing-hypotheses,preserve-correct-reference,preserve,57e39b2bb33267abccdfd0388bdd3902ef06873012c413f47f31b84198be6cc9
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,manual-page-091:L6219#token-1,search-metadata,r-06,unrelated/other-entry,repair-failure-to-test-reference,R-05,6d6a7f97314fd8b489e603de640ba3686ced52092947ac17c938a9b983ccca7c
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,manual-page-091:L6219#token-2,search-metadata,r-06,unrelated/other-entry,repair-failure-to-test-reference,R-05,6c2244b8630f1e6239a89fed19de0df8affc2112ea58ab867a4f55e05eb399e5
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,manual-page-091:L6219#token-3,search-metadata,r-06,competing-hypotheses,replace-semantic-reference,R-07,0da73267d82a25d8a8ba6bb22bd6f52ee56deeb7afc9af1f0ab5aba6f72bd62f
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,manual-page-091:L6238#token-1,visible-text,R-06,unrelated/other-entry,repair-failure-to-test-reference,R-05,8514569854800407beb6245af283f5d5f6a86f9a726036b255857f5e9a43fbc9
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,manual-page-091:L6239#token-1,visible-text,R-06,unrelated/other-entry,repair-failure-to-test-reference,R-05,9936546a02d67dcf2767e2c5c0686a9eb1d3e0eadc2e093a29b02f2c64d259a8
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,manual-page-091:L6252#token-1,visible-text,R-06,competing-hypotheses,replace-semantic-reference,R-07,116d9b7832002f862aded72e3b521499138ff8b5361dbadf82d94f7ae3cbccca
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,manual-page-093:L6343#token-1,search-metadata,r-07,source-of-truth,replace-semantic-reference,R-10,7c980d7624de534538a5dbf0c964fb755e8a2bd3052586ae9cc674cbcc0beaa5
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,manual-page-093:L6385#token-1,visible-text,R-07,source-of-truth,replace-semantic-reference,R-10,3103fe9fd89de078c46277e2ea8f30b78d31cf1de2f40a7c2459fd990367f816
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,manual-page-101:L6820#token-1,search-metadata,r-06,unrelated/other-entry,repair-failure-to-test-reference,R-05,607a0d4bda57b6f50048da20a836d0ea7463c7e41cd183eb014b73812802ee38
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,manual-page-101:L6837#token-1,visible-text,R-06,unrelated/other-entry,repair-failure-to-test-reference,R-05,70956af41f52e687f51c83c3786d3d218622999ee2df892085dcd574e58e38b5
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,index.html,manual-page-105:L7090#token-1,search-metadata,r-06,unrelated/other-entry,repair-failure-to-test-reference,R-05,8bdbe6365049858234c09d9e6b782e2fb8c6f985552881e97a01ae12e656d822
